[discovering] Detecting source scenes
[building_context] Building story candidates 0.00-48.67
[building_context] Building story candidates 48.67-115.24
[building_context] Building story candidates 115.24-136.18
[building_context] Building story candidates 136.18-157.45
[building_context] Building story candidates 157.45-178.68
[building_context] Building story candidates 178.68-200.78
[building_context] Building story candidates 200.78-227.48
[building_context] Building story candidates 227.48-248.12
[building_context] Building story candidates 248.12-271.77
[building_context] Building story candidates 271.77-294.17
[building_context] Building story candidates 294.17-315.15
[building_context] Building story candidates 315.15-335.58
[building_context] Building story candidates 335.58-357.94
[building_context] Building story candidates 357.94-381.63
[building_context] Building story candidates 381.63-402.36
[building_context] Building story candidates 402.36-422.71
[building_context] Building story candidates 422.71-443.94
[building_context] Building story candidates 443.94-468.84
[building_context] Building story candidates 468.84-490.86
[building_context] Building story candidates 490.86-517.64
[building_context] Building story candidates 517.64-542.04
[building_context] Building story candidates 542.04-564.52
[building_context] Building story candidates 564.52-587.08
[building_context] Building story candidates 587.08-613.48
[building_context] Building story candidates 613.48-635.46
[building_context] Building story candidates 635.46-660.15
[building_context] Building story candidates 660.15-680.38
[building_context] Building story candidates 680.38-700.74
[building_context] Building story candidates 700.74-722.84
[building_context] Building story candidates 722.84-748.08
[building_context] Building story candidates 748.08-768.30
[building_context] Building story candidates 768.30-788.66
[building_context] Building story candidates 788.66-812.64
[building_context] Building story candidates 812.64-834.58
[building_context] Building story candidates 834.58-856.56
[building_context] Building story candidates 856.56-876.66
[building_context] Building story candidates 876.66-898.93
[building_context] Building story candidates 898.93-920.54
[building_context] Building story candidates 939.10-959.95
[building_context] Building story candidates 959.95-981.85
[building_context] Building story candidates 981.85-1003.58
[building_context] Building story candidates 1003.58-1023.89
[building_context] Building story candidates 1023.89-1046.83
[building_context] Building story candidates 1046.83-1068.89
[building_context] Building story candidates 1068.89-1089.50
[building_context] Building story candidates 1089.50-1117.15
[building_context] Building story candidates 1117.15-1144.34
[building_context] Building story candidates 1144.34-1164.57
[building_context] Building story candidates 1164.57-1185.97
[building_context] Building story candidates 1195.98-1223.55
[building_context] Building story candidates 1223.55-1244.65
[building_context] Building story candidates 1244.65-1271.30
[building_context] Building story candidates 1271.30-1291.53
[building_context] Building story candidates 1291.53-1317.52
[building_context] Building story candidates 1317.52-1339.41
[building_context] Building story candidates 1339.41-1362.73
[building_context] Building story candidates 1362.73-1383.50
[building_context] Building story candidates 1383.50-1405.52
[building_context] Building story candidates 1405.52-1427.50
[building_context] Building story candidates 1427.50-1447.69
[building_context] Building story candidates 1447.69-1472.13
[building_context] Building story candidates 1472.13-1494.15
[building_context] Building story candidates 1494.15-1516.71
[building_context] Building story candidates 1516.71-1540.19
[building_context] Building story candidates 1540.19-1562.51
[building_context] Building story candidates 1562.51-1585.57
[building_context] Building story candidates 1585.57-1610.01
[building_context] Building story candidates 1610.01-1633.87
[building_context] Building story candidates 1633.87-1656.43
[building_context] Building story candidates 1656.43-1679.71
[building_context] Building story candidates 1679.71-1701.36
[building_context] Building story candidates 1701.36-1721.88
[building_context] Building story candidates 1721.88-1745.15
[building_context] Building story candidates 1745.15-1767.00
[building_context] Building story candidates 1767.00-1788.48
[building_context] Building story candidates 1788.48-1809.38
[building_context] Building story candidates 1827.90-1854.76
[building_context] Building story candidates 1854.76-1878.66
[building_context] Building story candidates 1878.66-1901.35
[building_context] Building story candidates 1901.35-1924.74
[building_context] Building story candidates 1924.74-1948.85
[building_context] Building story candidates 1948.85-1968.87
[building_context] Building story candidates 1968.87-1992.81
[building_context] Building story candidates 1992.81-2016.00
[building_context] Building story candidates 2016.00-2037.02
[building_context] Building story candidates 2037.02-2057.50
[building_context] Building story candidates 2057.50-2079.69
[building_context] Building story candidates 2079.69-2104.51
[building_context] Building story candidates 2104.51-2125.73
[building_context] Building story candidates 2125.73-2148.67
[building_context] Building story candidates 2148.67-2169.53
[building_context] Building story candidates 2169.53-2190.42
[building_context] Building story candidates 2190.42-2214.16
[building_context] Building story candidates 2214.16-2237.34
[building_context] Building story candidates 2237.34-2258.62
[building_context] Building story candidates 2274.63-2296.20
[building_context] Building story candidates 2296.20-2317.42
[building_context] Building story candidates 2317.42-2338.36
[building_context] Building story candidates 2338.36-2359.38
[building_context] Building story candidates 2359.38-2381.57
[building_context] Building story candidates 2381.57-2402.18
[building_context] Building story candidates 2421.65-2450.51
[building_context] Building story candidates 2450.51-2472.33
[building_context] Building story candidates 2472.33-2494.77
[building_context] Building story candidates 2494.77-2519.50
[building_context] Building story candidates 2519.50-2540.98
[building_context] Building story candidates 2540.98-2561.00
[building_context] Building story candidates 2561.00-2582.85
[building_context] Building story candidates 2582.85-2603.25
[building_context] Building story candidates 2603.25-2624.52
[building_context] Building story candidates 2624.52-2649.38
[building_context] Building story candidates 2649.38-2672.32
[building_context] Building story candidates 2672.32-2692.84
[building_context] Building story candidates 2692.84-2715.15
[building_context] Building story candidates 2715.15-2737.80
[building_context] Building story candidates 2737.80-2761.91
[building_context] Building story candidates 2761.91-2784.30
[building_context] Building story candidates 2784.30-2805.74
[building_context] Building story candidates 2805.74-2828.76
[building_context] Building story candidates 2828.76-2850.37
[building_context] Building story candidates 2850.37-2871.85
[building_context] Building story candidates 2871.85-2894.41
